 +++ us,t =   0.99993944566691906        27.990063421741020     
 +++ us,t =   0.99993998212120638        28.000000000000000     
 +++ us,t =   0.99994004006610615        28.090005401933304     
 +++ us,t =   0.99994056369706008        28.180010798650940     
 +++ us,t =   0.99994107620278561        28.270016148236163     
 +++ us,t =   0.99994157799292105        28.360021451690411     
 +++ us,t =   0.99994206946890929        28.450026709978246     
 +++ us,t =   0.99994255102351004        28.540031924028096     
 +++ us,t =   0.99994302304059701        28.630037094733030     
 +++ us,t =   0.99994348589498239        28.720042222951566     
 +++ us,t =   0.99994393995226460        28.810047309508480     
 +++ us,t =   0.99994438556870391        28.900052355195637     
 +++ us,t =   0.99994482309111921        28.990057360772838     
 +++ us,t =   0.99994525285680746        29.000000000000000     
 +++ us,t =   0.99994529951135780        29.090004927512656     
 +++ us,t =   0.99994572106234925        29.180009850825940     
 +++ us,t =   0.99994613553666900        29.270014736195503     
 +++ us,t =   0.99994654324155008        29.360019584258339     
 +++ us,t =   0.99994694447475485        29.450024395623799     
 +++ us,t =   0.99994733952442816        29.540029170874426     
 +++ us,t =   0.99994772866913317        29.630033910566823     
 +++ us,t =   0.99994811217790236        29.720038615232522     
 +++ us,t =   0.99994849031030275        29.810043285378836     
 +++ us,t =   0.99994886331651300        29.900047921489712     
 +++ us,t =   0.99994923143741721        29.990052524026584     
 +++ us,t =   0.99994959490470647        30.000000000000000     
 +++ us,t =   0.99994963458607888        30.090004536687250     
 +++ us,t =   0.99994999315614119        30.180009069802814     
 +++ us,t =   0.99995034753161738        30.270013570643833     
 +++ us,t =   0.99995069791627156        30.360018039587882     
 +++ us,t =   0.99995104450532524        30.450022476994192     
 +++ us,t =   0.99995138748549173        30.540026883204423     
 +++ us,t =   0.99995172703513535        30.630031258543426     
 +++ us,t =   0.99995206332443665        30.720035603319999     
 +++ us,t =   0.99995239651556378        30.810039917827623     
 +++ us,t =   0.99995272676284830        30.900044202345182     
 +++ us,t =   0.99995305421296854        30.990048457137664     
 +++ us,t =   0.99995337900513237        31.000000000000000     
 +++ us,t =   0.99995341463729570        31.090004196085165     
 +++ us,t =   0.99995373663784404        31.180008388963135     
 +++ us,t =   0.99995405625033706        31.270012552858365     
 +++ us,t =   0.99995437359188510        31.360016687985819     
 +++ us,t =   0.99995468877301508        31.450020794549918     
 +++ us,t =   0.99995500189777542        31.540024872745136     
 +++ us,t =   0.99995531306393470        31.630028922756580     
 +++ us,t =   0.99995562236318114        31.720032944760558     
 +++ us,t =   0.99995592988132165        31.810036938925123     
 +++ us,t =   0.99995623569848224        31.900040905410606     
 +++ us,t =   0.99995653988930511        31.990044844370129     
 +++ us,t =   0.99995684252314843        32.000000000000000     
 +++ us,t =   0.99995687583177684        32.090003884340554     
 +++ us,t =   0.99995717681429064        32.180007765683072     
 +++ us,t =   0.99995747636960086        32.270011619934834     
 +++ us,t =   0.99995777455180468        32.360015447224320     
 +++ us,t =   0.99995807141059301        32.450019247675137     
 +++ us,t =   0.99995836699135965        32.540023021406412     
 +++ us,t =   0.99995866133538536        32.630026768533192     
 +++ us,t =   0.99995895448002259        32.720030489166810     
 +++ us,t =   0.99995924645887535        32.810034183415240     
 +++ us,t =   0.99995953730197751        32.900037851383424     
 +++ us,t =   0.99995982703596598        32.990041493173599     
 +++ us,t =   0.99996011568425236        33.000000000000000     
 +++ us,t =   0.99996014750404782        33.090003589731595     
 +++ us,t =   0.99996043497096587        33.180007176599176     
 +++ us,t =   0.99996072139169567        33.270010737592678     
 +++ us,t =   0.99996100678059952        33.360014272806282     
 +++ us,t =   0.99996129114955190        33.450017782332878     
 +++ us,t =   0.99996157450801582        33.540021266264276     
 +++ us,t =   0.99996185686319072        33.630024724691445     
 +++ us,t =   0.99996213822015589        33.720028157704704     
 +++ us,t =   0.99996241858200874        33.810031565393913     
 +++ us,t =   0.99996269795000126        33.900034947848653     
 +++ us,t =   0.99996297632366948        33.990038305158386     
 +++ us,t =   0.99996325370096151        34.000000000000000     
 +++ us,t =   0.99996328429079895        34.090003307288441     
 +++ us,t =   0.99996356055691993        34.180006611823600     
 +++ us,t =   0.99996383581767379        34.270009891492990     
 +++ us,t =   0.99996411006676766        34.360013146387111     
 +++ us,t =   0.99996438329686510        34.450016376597034     
 +++ us,t =   0.99996465549962332        34.540019582214491     
 +++ us,t =   0.99996492666579251        34.630022763331958     
 +++ us,t =   0.99996519678531504        34.720025920042751     
 +++ us,t =   0.99996546584741708        34.810029052441088     
 +++ us,t =   0.99996573384069798        34.900032160622160     
 +++ us,t =   0.99996600075321529        34.990035244682176     
 +++ us,t =   0.99996626657256615        35.000000000000000     
 +++ us,t =   0.99996629588050567        35.090003036110886     
 +++ us,t =   0.99996656046994425        35.180006069583882     
 +++ us,t =   0.99996682393892045        35.270009079242229     
 +++ us,t =   0.99996708627401554        35.360012065186787     
 +++ us,t =   0.99996734746170723        35.450015027519626     
 +++ us,t =   0.99996760748836877        35.540017966344031     
 +++ us,t =   0.99996786634032753        35.630020881764516     
 +++ us,t =   0.99996812400392043        35.720023773886822     
 +++ us,t =   0.99996838046554648        35.810026642817917     
 +++ us,t =   0.99996863571171535        35.900029488666000     
 +++ us,t =   0.99996888972909248        35.990032311540482     
 +++ us,t =   0.99996914250454316        36.000000000000000     
 +++ us,t =   0.99996917036011279        36.090002777260288     
 +++ us,t =   0.99996942174031644        36.180005552013419     
 +++ us,t =   0.99996967185177033        36.270008304140944     
 +++ us,t =   0.99996992068214485        36.360011033757068     
 +++ us,t =   0.99997016821951135        36.450013740977106     
 +++ us,t =   0.99997041445231427        36.540016425917443     
 +++ us,t =   0.99997065936939666        36.630019088695512     
 +++ us,t =   0.99997090296002444        36.720021729429746     
 +++ us,t =   0.99997114521390662        36.810024348239544     
 +++ us,t =   0.99997138612121550        36.900026945245230     
 +++ us,t =   0.99997162567260223        36.990029520568008     
 +++ us,t =   0.99997186385921288        37.000000000000000     
 +++ us,t =   0.99997189009340182        37.090002532323922     
 +++ us,t =   0.99997212675385749        37.180005062286632     
 +++ us,t =   0.99997236203260220        37.270007570948707     
 +++ us,t =   0.99997259592234333        37.360010058434518     
 +++ us,t =   0.99997282841637336        37.450012524869095     
 +++ us,t =   0.99997305950852555        37.540014970378067     
 +++ us,t =   0.99997328919317796        37.630017395087620     
 +++ us,t =   0.99997351746525587        37.720019799124451     
 +++ us,t =   0.99997374432023334        37.810022182615697     
 +++ us,t =   0.99997396975413244        37.900024545688922     
 +++ us,t =   0.99997419376352237        37.990026888472030     
 +++ us,t =   0.99997441634551587        38.000000000000000     
 +++ us,t =   0.99997444085128417        38.090002302587813     
 +++ us,t =   0.99997466184486172        38.180004602969994     
 +++ us,t =   0.99997488140678903        38.270006883461740     
 +++ us,t =   0.99997509953579911        38.360009144191913     
 +++ us,t =   0.99997531623119296        38.450011385289493     
 +++ us,t =   0.99997553149278595        38.540013606883520     
 +++ us,t =   0.99997574532090083        38.630015809103057     
 +++ us,t =   0.99997595771635772        38.720017992077125     
 +++ us,t =   0.99997616868046524        38.810020155934680     
 +++ us,t =   0.99997637821501029        38.900022300804551     
 +++ us,t =   0.99997658632224651        38.990024426815417     
 +++ us,t =   0.99997679300488351        39.000000000000000     
 +++ us,t =   0.99997681575544006        39.090002088678034     
 +++ us,t =   0.99997702085944229        39.180004175308419     
 +++ us,t =   0.99997722454606686        39.270006243478591     
 +++ us,t =   0.99997742681932633        39.360008293316127     
 +++ us,t =   0.99997762768367648        39.450010324948245     
 +++ us,t =   0.99997782714396588        39.540012338501761     
 +++ us,t =   0.99997802520542156        39.630014334103052     
 +++ us,t =   0.99997822187363627        39.720016311878027     
 +++ us,t =   0.99997841715455504        39.810018271952089     
 +++ us,t =   0.99997861105446118        39.900020214450102     
 +++ us,t =   0.99997880357996261        39.990022139496375     
 +++ us,t =   0.99997899473797824        40.000000000000000     
 +++ us,t =   0.99997901577948145        40.090001890513292     
 +++ us,t =   0.99997920542722285        40.180003779132768     
 +++ us,t =   0.99997939372308653        40.270005650683238     
 +++ us,t =   0.99997958067483739        40.360007505286376     
 +++ us,t =   0.99997976629052654        40.450009343063165     
 +++ us,t =   0.99997995057844635        40.540011164133865     
 +++ us,t =   0.99998013354711601        40.630012968617983     
